,Activity Date,Distance,Moving Time,Max Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Average Cadence,Average Heart Rate,Average Watts,Weighted Average Power,Wind Speed,Average Speed,Total Weight
620,2019-06-21 11:30:50,52.96,6796.0,61.560001373291016,553.0,563.0,737.0,871.0,84.7908706665039,133.0,133.0379638671875,138.0,,28.05414949970571,74.5
621,2019-06-22 12:34:19,103.35,13625.0,64.07999725341797,1246.0,1218.0,547.5999755859375,883.2000122070312,85.37036895751953,141.0,147.50550842285156,156.0,,27.30715596330275,74.5
625,2019-06-29 12:51:04,72.63,9612.0,51.11999931335449,947.4320068359376,902.0,772.0,875.9000244140625,82.5967788696289,143.2781219482422,143.16513061523438,161.0,,27.20224719101123,74.5
626,2019-06-30 19:44:24,51.88,6551.0,52.56000137329102,473.0,455.0,764.7999877929688,861.5999755859375,84.27074432373047,137.0,149.44497680664062,158.0,,28.509845825064875,74.5
629,2019-07-06 19:01:44,45.77,5464.0,56.160001373291024,286.0,271.0,778.0,834.7999877929688,85.55601501464844,150.0,172.1260986328125,184.0,,30.155929721815525,74.5
630,2019-07-07 11:32:03,85.18,10688.0,59.039998626708986,857.0,865.0,485.7999877929688,638.2000122070312,83.99920654296875,143.0,153.72520446777344,166.0,,28.690868263473053,74.5
631,2019-07-09 11:04:12,105.6,13213.0,66.239998626709,1022.0,1025.0,689.5999755859375,921.4000244140624,81.13479614257812,133.0,145.3179473876953,166.0,,28.771664270037085,74.5
633,2019-07-11 14:05:44,46.15,5503.0,58.67999725341797,409.0,364.0,769.2000122070312,834.5999755859375,86.19599914550781,154.0,168.6985321044922,183.0,,30.19080501544612,74.5
634,2019-07-13 10:57:20,112.32,13480.0,64.8,1292.0,1294.0,650.0,899.7999877929688,81.61853790283203,136.0,135.8229522705078,157.0,,29.996439169139467,74.5
635,2019-07-14 19:25:09,40.14,5247.0,52.919999313354495,312.0,324.0,825.0,897.0,83.9324722290039,130.0,129.66000366210938,137.0,,27.540308747855917,74.5
637,2019-07-16 13:21:36,55.92,6911.0,58.320002746582034,487.0,403.0,813.5999755859375,874.0,87.01372528076172,141.0,156.92996215820312,178.0,,29.12921429604978,74.5
638,2019-07-17 13:56:42,31.42,4140.0,65.52000274658204,341.0,332.0,772.0,862.0,86.93824005126953,130.0,139.83091735839844,146.0,,27.321739130434782,74.5
640,2019-07-19 15:31:10,16.66,2652.0,79.56000137329102,182.0,286.0,694.2000122070312,863.4000244140625,78.64111328125,113.0,71.7831802368164,94.0,,22.615384615384617,74.5
641,2019-07-20 18:38:17,72.27,8853.0,56.160001373291024,644.0,647.0,765.4000244140625,865.0,87.40825653076172,150.0,166.29605102539062,174.0,,29.388004066418162,74.5
642,2019-07-21 12:52:56,63.21,8143.0,56.88000068664551,543.0,536.0,694.5999755859375,853.5999755859375,86.02333068847656,137.0,149.73106384277344,159.0,,27.944983421343487,74.5
643,2019-07-23 21:49:12,34.19,4447.0,38.88000068664551,128.0,119.0,798.0,823.0,83.88209533691406,126.0,137.19204711914062,140.0,,27.677985158533836,74.5
647,2019-07-28 19:03:01,52.06,7003.0,80.639998626709,730.0,731.0,758.2000122070312,893.5999755859375,85.28614044189453,144.0,158.7056427001953,169.0,,26.76224475224904,74.5
651,2019-08-03 13:09:37,61.01,7528.0,59.76000137329102,464.0,452.0,823.2000122070312,886.5999755859375,88.09379577636719,143.0,167.07266235351562,182.0,,29.17587672688629,74.5
656,2019-08-10 12:41:17,71.07,8418.0,59.76000137329102,680.0,657.0,768.7999877929688,910.5999755859376,84.4520263671875,157.0,160.1698760986328,170.0,,30.39344262295082,74.5
657,2019-08-11 19:16:45,46.86,5575.0,48.23999862670898,342.0,348.0,831.5999755859375,866.4000244140625,84.59159851074219,146.0,145.9173126220703,147.0,,30.259372197309418,74.5
660,2019-08-17 13:04:56,61.35,7235.0,54.36000137329102,508.0,530.0,775.7999877929688,881.0,84.88190460205078,156.0,161.81216430664062,172.0,,30.526606772633034,74.5
661,2019-08-18 19:11:42,47.09,5499.0,63.36000137329102,306.0,302.0,781.0,836.7999877929688,85.39054107666016,153.0,160.18858337402344,172.0,,30.828150572831422,74.5
666,2019-08-24 18:46:38,12.67,1347.0,53.63999862670898,75.5999984741211,68.0,663.0,700.7999877929688,92.74869537353516,180.8463287353516,211.12991333007807,211.0,,33.8619153674833,74.5
667,2019-08-25 11:23:54,13.26,1735.0,46.800000000000004,95.0,99.0,644.0,674.2000122070312,80.5759048461914,133.0,136.96656799316406,153.0,,27.513544668587897,74.5
668,2019-08-25 12:09:28,31.51,3441.0,61.560001373291016,230.0,235.0,642.0,670.5999755859375,88.06224060058594,163.0,186.80694580078125,202.0,,32.965998256320844,74.5
672,2019-08-31 09:50:25,120.24,14053.0,65.16000137329102,1295.0,1313.0,560.5999755859375,884.4000244140625,81.92192077636719,147.0,139.91842651367188,162.0,,30.802248630185726,74.5
677,2019-09-07 10:47:38,107.16,13794.0,66.239998626709,1005.0,1009.0,455.6000061035156,630.5999755859375,81.18600463867188,141.0,141.7752227783203,158.0,,27.966942148760328,74.5
678,2019-09-08 19:09:39,55.7,7020.0,54.36000137329102,467.0,487.0,804.2000122070312,898.5999755859375,83.88854217529297,149.0,150.23988342285156,164.0,,28.564102564102566,74.5
683,2019-09-14 11:46:03,105.66,12620.0,58.67999725341797,767.0,712.0,720.5999755859375,882.7999877929688,84.69876861572266,155.0,155.41976928710938,164.0,,30.14072900158478,74.5
684,2019-09-15 13:42:02,31.33,4046.0,62.27999725341797,299.0,294.0,798.4000244140625,881.0,81.21434020996094,138.0,138.5718536376953,142.0,,27.876421156697972,74.5
686,2019-09-17 19:59:17,46.93,5468.0,51.11999931335449,319.0,320.0,816.2000122070312,848.4000244140625,85.33787536621094,151.0,165.08741760253906,175.0,,30.89758595464521,74.5
687,2019-09-18 13:39:35,31.34,4168.0,60.12000274658203,298.0,291.0,779.2000122070312,861.4000244140625,82.77544403076172,135.0,142.8500518798828,146.0,,27.069097888675625,74.5
689,2019-09-20 20:23:16,32.82,3926.0,41.760001373291026,232.0,238.0,811.2000122070312,847.2000122070312,85.39764404296875,130.0,148.68975830078125,149.0,,30.094752929190015,74.5
690,2019-09-21 11:32:53,104.27,13584.0,68.4,948.0,920.0,637.2000122070312,861.5999755859375,81.8283462524414,134.0,146.1812744140625,155.0,,27.63339222614841,74.5
